City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
65,laizhou,37.1717,119.9214,23.220000000000027,96,94,1.35,CN,1726168404
66,lebu,-37.6167,-73.65,11.590000000000032,64,12,5.63,CL,1726168405
67,arraial do cabo,-22.9661,-42.0278,26.980000000000018,69,0,8.75,BR,1726168406
68,san fernando,15.0286,120.6898,25.850000000000023,94,100,1.05,PH,1726168407
69,san patricio,28.017,-97.5169,32.97000000000003,40,0,1.33,US,1726168408
70,aginskoye,51.1,114.53,2.2600000000000477,53,26,2.0,RU,1726168409
71,acapulco de juarez,16.8634,-99.8901,30.900000000000034,66,40,2.57,MX,1726168411
72,weno,7.4515,151.8468,26.970000000000027,89,100,4.63,FM,1726168412
73,novyy turtkul',41.55,61.0167,21.629999999999995,24,4,6.67,UZ,1726168414
74,saint-philippe,-21.3585,55.7679,22.220000000000027,80,2,1.93,RE,1726168415
75,constantia,44.1833,28.65,20.390000000000043,75,0,4.48,RO,1726168416
76,badger,64.8,-147.5333,10.550000000000011,74,0,2.06,US,1726168417
77,allapalli,19.4167,80.0667,24.220000000000027,96,83,0.44,IN,1726168418
78,wad az zaki,14.4619,32.2065,36.160000000000025,32,10,2.08,SD,1726168420
79,rawson,-43.3002,-65.1023,20.160000000000025,19,0,8.75,AR,1726168421
80,yanbu,24.0891,38.0637,36.02000000000004,30,20,4.12,SA,1726168422
81,aku,6.7081,7.3167,23.700000000000045,93,13,1.01,NG,1726168423
82,kingston,17.997,-76.7936,31.090000000000032,69,100,2.41,JM,1726168227
83,vangaindrano,-23.35,47.6,20.350000000000023,83,100,2.53,MG,1726168425
84,klyuchi,52.2667,79.1667,8.090000000000032,87,74,4.52,RU,1726168426
85,tolanaro,-25.0319,46.9987,21.04000000000002,78,75,6.17,MG,1726168427
86,dunedin,-45.8742,170.5036,5.4500000000000455,95,100,0.89,NZ,1726168369
87,alaminos,14.0639,121.2465,23.360000000000014,96,100,0.72,PH,1726168430
88,ilulissat,69.2167,-51.1,4.010000000000048,65,0,2.06,GL,1726168431
89,ushuaia,-54.8,-68.3,1.8100000000000023,75,75,9.77,AR,1726168432
90,petrolina,-9.3986,-40.5008,33.03000000000003,29,20,6.69,BR,1726168433
91,mahibadhoo,3.7833,72.9667,28.33000000000004,75,97,2.23,MV,1726168434
92,alva,56.1528,-3.8051,4.240000000000009,76,0,1.67,GB,1726168435
93,petropavlovsk-kamchatsky,53.0452,158.6483,9.330000000000041,66,75,1.0,RU,1726168437
94,belmonte,-15.8631,-38.8828,25.260000000000048,65,15,4.19,BR,1726168438
95,enewetak,11.3474,162.3373,28.30000000000001,77,100,3.66,MH,1726168439
96,hermanus,-34.4187,19.2345,13.220000000000027,85,100,1.19,ZA,1726168440
97,freetown,8.484,-13.2299,25.350000000000023,84,99,0.87,SL,1726168441
98,ghardaia,32.4909,3.6735,29.640000000000043,25,0,2.57,DZ,1726168442
99,dokkum,53.3222,5.997,11.660000000000025,93,40,1.03,NL,1726168443
100,port elizabeth,-33.918,25.5701,16.840000000000032,92,75,3.09,ZA,1726168445
101,zahedan,29.4963,60.8629,16.950000000000045,13,0,2.06,IR,1726168446
102,vega de alatorre,20.0333,-96.6333,30.02000000000004,74,100,4.24,MX,1726168447
103,kirakira,-10.4544,161.9205,25.410000000000025,88,100,4.49,SB,1726168448
104,alofi,-19.0595,-169.9187,23.939999999999998,88,75,4.12,NU,1726168449
105,punta arenas,-53.15,-70.9167,2.0600000000000023,93,20,11.32,CL,1726168450
106,luderitz,-26.6481,15.1594,12.470000000000027,74,0,3.5,NA,1726168451
107,guerrero negro,27.9769,-114.0611,23.52000000000004,60,2,6.61,MX,1726168452
108,frinton-on-sea,51.8388,1.2463,9.850000000000023,87,0,7.74,GB,1726168454
109,cavelossim,15.1726,73.9419,25.99000000000001,87,39,0.56,IN,1726168455
110,aykhal,66.0,111.5,-1.669999999999959,88,30,8.87,RU,1726168456
111,mogadishu,2.0371,45.3438,25.200000000000045,83,100,7.61,SO,1726168457
112,geraldton,-28.7667,114.6,16.230000000000018,59,0,2.06,AU,1726168458
113,alice springs,-23.7,133.8833,10.75,40,15,3.09,AU,1726168460
114,kapa'a,22.0752,-159.319,28.180000000000007,76,0,3.09,US,1726168461
115,betioky,-23.7167,44.3833,20.810000000000002,55,0,5.63,MG,1726168463
116,artemisa,22.814,-82.7561,31.54000000000002,65,100,1.69,CU,1726168464
117,nieuw nickerie,5.95,-56.9833,29.07000000000005,69,15,6.18,SR,1726168465
118,mata-utu,-13.2816,-176.1745,26.730000000000018,85,15,9.95,WF,1726168466
119,sao tome,0.3365,6.7273,25.58000000000004,85,99,3.86,ST,1726168467
120,polyarnyy,69.1989,33.4478,15.050000000000011,86,46,5.32,RU,1726168468
121,beloyarskiy,63.7119,66.6722,11.840000000000032,85,53,2.1,RU,1726168469
122,newman,37.3138,-121.0208,25.590000000000032,30,0,4.42,US,1726168471
123,ancud,-41.8697,-73.8203,8.900000000000034,81,100,3.51,CL,1726168473
124,susuman,62.7833,148.1667,4.140000000000043,98,100,1.25,RU,1726168474
125,tiksi,71.6872,128.8694,-0.46999999999997044,93,100,1.72,RU,1726168475
126,luwingu,-10.2621,29.9271,21.720000000000027,30,0,2.63,ZM,1726168476
127,shalkar,47.8288,59.6258,19.590000000000032,38,2,8.81,KZ,1726168478
128,hamilton,39.1834,-84.5333,32.360000000000014,34,0,7.2,US,1726167930
129,tavda,58.0425,65.2726,11.340000000000032,88,0,1.3,RU,1726168480
130,ust-nera,64.5667,143.2,6.340000000000032,95,100,2.45,RU,1726168481
131,lihue,21.9789,-159.3672,27.77000000000004,76,0,3.09,US,1726168482
132,sorsk,54.0033,90.2467,1.1800000000000068,96,0,2.83,RU,1726168483
133,i-n-salah,27.1935,2.4607,37.10000000000002,15,88,3.49,DZ,1726168484
134,gadzhiyevo,69.2551,33.3362,15.420000000000016,85,39,4.98,RU,1726168485
135,portage la prairie,49.9728,-98.2926,28.05000000000001,47,40,10.8,CA,1726168487
136,avarua,-21.2078,-159.775,26.03000000000003,73,40,5.14,CK,1726168488
137,mont-saint-hilaire,45.5668,-73.1992,25.180000000000007,58,0,3.09,CA,1726168489
138,usinsk,65.9939,57.5281,15.25,77,100,5.43,RU,1726168490
139,palikir - national government center,6.9248,158.1611,24.410000000000025,94,100,1.54,FM,1726168491
140,saipan,15.1355,145.701,29.390000000000043,74,20,6.69,MP,1726168492
141,fort st. john,56.2499,-120.8529,14.939999999999998,67,20,2.57,CA,1726168493
142,east london,-33.0153,27.9116,19.720000000000027,90,98,7.38,ZA,1726168398
143,ixtapa,20.7,-105.2,29.57000000000005,84,100,2.06,MX,1726168496
144,caconda,-13.7333,15.0667,24.680000000000007,30,99,3.7,AO,1726168497
145,cidade velha,14.9167,-23.6167,29.260000000000048,74,40,6.69,CV,1726168498
146,koryazhma,61.3143,47.1691,17.730000000000018,70,92,2.01,RU,1726168499
147,wailua homesteads,22.0669,-159.378,27.439999999999998,79,0,3.09,US,1726168500
148,berezovyy,51.6667,135.7,5.740000000000009,52,41,3.96,RU,1726168501
149,port saint john's,-31.6229,29.5448,20.840000000000032,92,61,2.96,ZA,1726168502
150,puerto el triunfo,13.2833,-88.55,30.010000000000048,74,66,4.13,SV,1726168504
151,kavaratti,10.5669,72.642,26.77000000000004,87,100,3.42,IN,1726168505
152,urcos,-13.6861,-71.6228,19.879999999999995,26,10,5.46,PE,1726168506
153,mount pearl,47.5166,-52.7813,19.689999999999998,57,75,5.66,CA,1726168465
